landon@el304b:~/cex_permute$ make; make test; prism -importmodel buildModel.tra,sta,lab -ctmc scripts/pro.csl
(javac -classpath "/usr/local/prism-src/prism/classes:/usr/local/prism-src/prism/lib/*:/usr/local/prism-src/prism/prism/classes:/usr/local/prism-src/prism/prism/lib/*" -d classes src/./BuildModel.java)
PRISM_DIR=/usr/local/prism-src/prism PRISM_MAINCLASS=simulate.BuildModel bin/run
bin/run: 21: [[: not found
Welcome to the model commutation tool.
Prism model loaded succesfully.
Processed 2230 paths with a state count of 5246
Processed 2240 paths with a state count of 5246
Processed 2250 paths with a state count of 5246
Processed 2260 paths with a state count of 5246
Processed 2270 paths with a state count of 5246
Processed 2280 paths with a state count of 5246
Processed 2290 paths with a state count of 5246
Processed 2300 paths with a state count of 5246
Processed 2310 paths with a state count of 5246
Processed 2320 paths with a state count of 5246
Processed 2330 paths with a state count of 5246
Processed 2340 paths with a state count of 5246
Processed 2350 paths with a state count of 5246
Processed 2360 paths with a state count of 5246
Processed 2370 paths with a state count of 5246
Processed 2380 paths with a state count of 5246
Processed 2390 paths with a state count of 5246
Processed 2400 paths with a state count of 5246
Processed 2410 paths with a state count of 5246
Processed 2420 paths with a state count of 5251
Processed 2430 paths with a state count of 5251
Processed 2440 paths with a state count of 5251
Processed 2450 paths with a state count of 5251
Processed 2460 paths with a state count of 5251
Processed 2470 paths with a state count of 5275
Processed 2480 paths with a state count of 5275
Processed 2490 paths with a state count of 5481
Processed 2500 paths with a state count of 5481
Processed 2510 paths with a state count of 5481
Processed 2520 paths with a state count of 5481
Processed 2530 paths with a state count of 5481
Processed 2540 paths with a state count of 5481
Processed 2550 paths with a state count of 5481
Processed 2560 paths with a state count of 5481
Processed 2570 paths with a state count of 5481
Processed 2580 paths with a state count of 5481
Processed 2590 paths with a state count of 5481
Processed 2600 paths with a state count of 5481
Processed 2610 paths with a state count of 5481
Processed 2620 paths with a state count of 5481
Processed 2630 paths with a state count of 5481
Processed 2640 paths with a state count of 5481
Processed 2650 paths with a state count of 5481
Processed 2660 paths with a state count of 5481
Processed 2670 paths with a state count of 5481
Processed 2680 paths with a state count of 5481
Processed 2690 paths with a state count of 5481
Processed 2700 paths with a state count of 5481
Processed 2710 paths with a state count of 5481
Processed 2720 paths with a state count of 5481
Processed 2730 paths with a state count of 5481
Processed 2740 paths with a state count of 5481
Processed 2750 paths with a state count of 5481
Processed 2760 paths with a state count of 5481
Processed 2770 paths with a state count of 5481
Processed 2780 paths with a state count of 5481
Processed 2790 paths with a state count of 5481
Processed 2800 paths with a state count of 5481
Processed 2810 paths with a state count of 5481
Processed 2820 paths with a state count of 5481
Processed 2830 paths with a state count of 5481
Processed 2840 paths with a state count of 5481
Processed 2850 paths with a state count of 5481
Processed 2860 paths with a state count of 5481
Processed 2870 paths with a state count of 5481
Processed 2880 paths with a state count of 5481
Processed 2890 paths with a state count of 5481
Processed 2900 paths with a state count of 5481
Processed 2910 paths with a state count of 5481
Processed 2920 paths with a state count of 5481
Processed 2930 paths with a state count of 5481
Processed 2940 paths with a state count of 5481
Processed 2950 paths with a state count of 5481
Processed 2960 paths with a state count of 5481
Processed 2970 paths with a state count of 5481
Processed 2980 paths with a state count of 5481
Processed 2990 paths with a state count of 5481
Processed 3000 paths with a state count of 5481
Processed 3010 paths with a state count of 5481
Processed 3020 paths with a state count of 5481
Processed 3030 paths with a state count of 5481
Processed 3040 paths with a state count of 5481
Processed 3050 paths with a state count of 5481
Processed 3060 paths with a state count of 5481
Processed 3070 paths with a state count of 5481
Processed 3080 paths with a state count of 5481
Processed 3090 paths with a state count of 5481
Processed 3100 paths with a state count of 5481
Processed 3110 paths with a state count of 5481
Processed 3120 paths with a state count of 5481
Processed 3130 paths with a state count of 5481
Processed 3140 paths with a state count of 5481
Processed 3150 paths with a state count of 5481
Processed 3160 paths with a state count of 5481
Processed 3170 paths with a state count of 5481
Processed 3180 paths with a state count of 5481
Processed 3190 paths with a state count of 5481
Processed 3200 paths with a state count of 5481
Processed 3210 paths with a state count of 5481
Processed 3220 paths with a state count of 5481
Processed 3230 paths with a state count of 5481
Processed 3240 paths with a state count of 5481
Processed 3250 paths with a state count of 5481
Processed 3260 paths with a state count of 5481
Processed 3270 paths with a state count of 5481
Processed 3280 paths with a state count of 5481
Processed 3290 paths with a state count of 5481
Processed 3300 paths with a state count of 5481
Processed 3310 paths with a state count of 5481
Processed 3320 paths with a state count of 5481
Processed 3330 paths with a state count of 5481
Processed 3340 paths with a state count of 5481
Processed 3350 paths with a state count of 5481
Processed 3360 paths with a state count of 5481
Processed 3370 paths with a state count of 5481
Processed 3380 paths with a state count of 5481
Processed 3390 paths with a state count of 5481
Processed 3400 paths with a state count of 5481
Processed 3410 paths with a state count of 5481
Processed 3420 paths with a state count of 5481
Processed 3430 paths with a state count of 5481
Processed 3440 paths with a state count of 5481
Processed 3450 paths with a state count of 5481
Processed 3460 paths with a state count of 5481
Processed 3470 paths with a state count of 5481
Processed 3480 paths with a state count of 5481
Processed 3490 paths with a state count of 5481
Processed 3500 paths with a state count of 5481
Processed 3510 paths with a state count of 5481
Processed 3520 paths with a state count of 5481
Processed 3530 paths with a state count of 5481
Processed 3540 paths with a state count of 5481
Processed 3550 paths with a state count of 5481
Processed 3560 paths with a state count of 5481
Processed 3570 paths with a state count of 5481
Processed 3580 paths with a state count of 5481
Processed 3590 paths with a state count of 5481
Processed 3600 paths with a state count of 5481
Processed 3610 paths with a state count of 5481
Processed 3620 paths with a state count of 5481
Processed 3630 paths with a state count of 5481
Processed 3640 paths with a state count of 5481
Processed 3650 paths with a state count of 5481
Processed 3660 paths with a state count of 5481
Processed 3670 paths with a state count of 5481
Processed 3680 paths with a state count of 5481
Processed 3690 paths with a state count of 5481
Processed 3700 paths with a state count of 5481
Processed 3710 paths with a state count of 5481
Processed 3720 paths with a state count of 5481
Processed 3730 paths with a state count of 5481
Processed 3740 paths with a state count of 5481
Processed 3750 paths with a state count of 5481
Processed 3760 paths with a state count of 5481
Processed 3770 paths with a state count of 5481
Processed 3780 paths with a state count of 5481
Processed 3790 paths with a state count of 5481
Processed 3800 paths with a state count of 5481
Processed 3810 paths with a state count of 5481
Processed 3820 paths with a state count of 5481
Processed 3830 paths with a state count of 5481
Processed 3840 paths with a state count of 5481
Processed 3850 paths with a state count of 5481
Processed 3860 paths with a state count of 5481
Processed 3870 paths with a state count of 5481
Processed 3880 paths with a state count of 5481
Processed 3890 paths with a state count of 5481
Processed 3900 paths with a state count of 5481
Processed 3910 paths with a state count of 5481
Processed 3920 paths with a state count of 5481
Processed 3930 paths with a state count of 5481
Processed 3940 paths with a state count of 5481
Processed 3950 paths with a state count of 5481
Processed 3960 paths with a state count of 5481
Processed 3970 paths with a state count of 5481
Processed 3980 paths with a state count of 5481
Processed 3990 paths with a state count of 5486
Processed 4000 paths with a state count of 5486
Processed 4010 paths with a state count of 5486
Processed 4020 paths with a state count of 5486
Processed 4030 paths with a state count of 5486
Processed 4040 paths with a state count of 5486
Processed 4050 paths with a state count of 5486
Processed 4060 paths with a state count of 5486
Processed 4070 paths with a state count of 5486
Processed 4080 paths with a state count of 5486
Processed 4090 paths with a state count of 5486
